age,gender,region,marital_status,occupation,education,dependents,account_type,account_age_months,num_products,avg_balance,is_dormant,mobile_banking_active,monthly_mobile_logins,ussd_usage,internet_banking_active,atm_txns_per_month,account_linkage_active,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,has_rel_manager,sector,monthly_fees,churned
58,Male,Greater Accra,Divorced,Engineer,Primary,1,Business,27,5,8785.19,False,True,1,True,True,7,True,2850.1,3608.5,2118.91,0.42,7,301,2.1,True,SME,35.21,False
35,Male,Ashanti,Divorced,Teacher,None,3,Savings,92,3,60412.23,True,False,34,True,False,2,False,4164.08,3130.75,2592.04,0.58,1,23,3.6,False,Retail,42.91,True
42,Female,Eastern,Divorced,Engineer,Secondary,2,Savings,172,3,70211.85,True,True,34,True,True,14,False,1422.74,4634.42,2080.08,0.22,5,28,1.9,True,Corporate,20.66,True
31,Female,Ashanti,Widowed,Banker,Tertiary,1,Current,36,2,74524.4,False,False,37,False,False,7,True,2596.68,545.46,188.99,0.11,10,81,4.2,False,Retail,19.85,False
51,Female,Western,Single,Student,None,5,Business,193,3,76883.01,False,True,18,False,True,14,True,4773.7,4391.68,827.0,0.5,2,259,4.7,False,SME,8.49,True
52,Male,Western,Divorced,Banker,None,0,Current,225,3,24021.29,True,True,5,False,True,17,True,729.12,2428.88,1671.92,0.27,9,216,4.9,True,Corporate,20.55,False
46,Female,Greater Accra,Married,Engineer,None,2,Savings,151,5,23088.46,True,True,4,True,True,2,True,4312.21,447.2,752.11,0.67,3,276,1.5,False,SME,39.45,False
30,Male,Greater Accra,Widowed,Trader,Tertiary,3,Current,222,1,67369.12,True,True,25,False,True,7,True,1032.02,2298.21,1294.55,0.28,3,38,2.8,True,Retail,32.96,True
23,Male,Ashanti,Widowed,Banker,Tertiary,1,Current,232,1,16547.25,True,False,16,False,False,13,False,858.5,1553.87,2907.69,0.58,8,31,4.0,True,Retail,29.62,True
21,Male,Ashanti,Single,Farmer,None,5,Savings,104,1,94165.45,True,True,39,True,False,18,False,4680.06,1100.87,2162.77,0.24,6,67,3.7,False,Agriculture,16.49,True
18,Female,Western,Single,Teacher,Postgraduate,1,Business,68,2,93332.61,True,True,23,False,True,14,False,3097.22,4937.44,1979.23,0.01,8,153,4.7,True,SME,13.96,True
65,Male,Northern,Divorced,Farmer,Primary,5,Current,53,3,50590.36,False,True,5,False,False,1,True,1734.43,741.02,2940.4,0.16,7,282,3.8,True,Retail,4.69,True
52,Male,Northern,Married,Banker,Primary,0,Current,94,1,89902.57,True,True,42,True,False,17,False,4871.8,3772.44,2781.0,0.24,2,90,4.5,True,SME,37.09,False
68,Female,Volta,Married,Trader,Primary,5,Savings,98,1,85873.47,True,True,29,False,False,7,True,215.96,1046.34,1018.37,0.86,4,179,3.6,False,Corporate,47.02,True
34,Male,Western,Divorced,Teacher,None,4,Current,89,3,43695.75,True,False,36,True,False,1,False,108.29,4635.32,1638.43,0.72,10,100,2.5,True,Corporate,31.53,True
64,Female,Western,Divorced,Student,Tertiary,2,Current,179,3,55485.81,True,False,42,False,True,19,False,2089.77,4185.25,946.43,0.21,9,310,3.6,False,Agriculture,22.67,True
50,Female,Volta,Married,Student,None,2,Business,170,5,33585.31,True,False,14,True,True,0,True,1299.73,2428.17,2556.73,0.07,6,322,3.3,False,Agriculture,20.58,True
59,Male,Greater Accra,Widowed,Engineer,Primary,5,Business,119,1,55784.84,True,False,8,False,False,14,False,4169.79,2784.57,2696.76,0.74,7,230,2.0,True,Corporate,38.52,False
58,Male,Northern,Widowed,Teacher,Secondary,1,Current,86,3,89313.38,True,True,9,True,False,4,True,414.72,2097.24,1650.7,0.42,3,215,2.6,True,Agriculture,24.37,False
37,Female,Eastern,Married,Banker,Primary,2,Current,125,1,38946.83,False,True,29,True,True,12,True,511.34,2200.2,2607.21,0.18,4,194,2.3,False,Corporate,17.54,False
35,Female,Northern,Single,Banker,None,5,Business,14,3,22499.79,True,True,48,True,True,6,True,3144.54,1268.87,1447.01,0.11,3,238,3.8,False,SME,30.69,True
67,Male,Northern,Single,Farmer,None,2,Business,174,4,39725.78,True,True,37,True,True,9,True,4001.51,2873.07,171.15,0.53,10,189,1.3,False,Retail,42.63,False
24,Female,Northern,Widowed,Student,Primary,3,Savings,188,5,96550.83,False,False,29,False,False,10,True,4170.58,524.65,2650.81,0.24,7,291,3.4,False,Corporate,2.41,False
29,Female,Ashanti,Divorced,Trader,Secondary,2,Business,180,3,55623.52,True,True,15,False,False,17,True,3483.99,3264.92,1497.92,0.79,1,150,1.9,True,Corporate,33.53,False
48,Female,Eastern,Divorced,Trader,Tertiary,2,Current,65,2,12153.52,True,False,7,True,True,6,False,1454.85,2988.98,2292.61,0.6,1,99,2.2,False,SME,15.81,True
35,Male,Greater Accra,Divorced,Student,Primary,5,Current,27,1,57449.02,False,False,28,False,True,1,False,4711.21,2440.87,2475.24,0.4,1,295,3.5,True,SME,8.31,False
23,Male,Greater Accra,Widowed,Farmer,Postgraduate,4,Savings,199,5,38099.76,False,False,37,False,False,18,True,3087.19,3726.44,2845.39,0.21,3,135,3.6,True,SME,9.52,True
28,Male,Eastern,Widowed,Student,Postgraduate,3,Current,9,2,28881.68,False,False,4,True,False,20,True,2183.18,2768.36,1960.52,0.91,2,36,1.2,False,Corporate,22.52,False
62,Female,Volta,Widowed,Trader,Postgraduate,4,Current,113,1,59843.86,False,False,38,False,True,2,True,4813.36,4196.2,1746.84,0.95,10,137,3.3,True,Agriculture,26.43,False
35,Male,Western,Widowed,Student,Tertiary,0,Current,90,4,33397.51,True,True,21,False,False,9,False,4086.47,2795.47,1391.74,0.31,5,59,4.9,False,Retail,33.23,False
44,Male,Ashanti,Divorced,Farmer,Tertiary,5,Current,195,1,20435.47,True,False,28,False,True,0,True,3577.94,1622.68,90.34,0.41,3,58,2.8,True,SME,25.42,False
50,Female,Eastern,Widowed,Banker,Primary,3,Business,38,4,19141.98,True,True,17,False,False,16,False,4120.69,1485.91,930.74,0.59,10,250,4.5,False,Agriculture,17.91,False
47,Female,Ashanti,Married,Farmer,Tertiary,1,Current,12,3,74496.04,False,False,42,True,False,1,True,2561.23,2991.88,2615.62,0.87,7,51,3.1,False,Retail,36.4,False
59,Male,Greater Accra,Widowed,Trader,Secondary,4,Business,102,1,85191.35,False,False,40,False,True,19,True,1250.37,3453.56,897.77,0.23,1,222,4.9,True,Agriculture,9.15,False
