age,dependents,account_age_months,num_products,avg_balance,monthly_mobile_logins,atm_txns_per_month,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,monthly_fees,gender,region,marital_status,occupation,education,account_type,sector,is_dormant,mobile_banking_active,ussd_usage,internet_banking_active,account_linkage_active,has_rel_manager,churned
44.0,1.0,,5.0,1246.5744419574467,11.0,,1568.1475378369084,111.25958930343599,241.97699647785166,0.8263778265204674,0.0,323.0,,34.83420416306265,,Central,Single,Engineer,Master,Savings,Other,False,True,False,False,False,False,0
,0.0,32.0,2.0,6993.9451870146595,8.0,6.0,1946.859648155589,94.79900278790227,38.089992295062224,0.8490154067778117,0.0,314.0,3.2078554155714407,16.063044104396113,Female,South,Married,Retired,Master,Investment,Finance,False,True,False,True,False,False,0
46.0,0.0,65.0,2.0,2254.5770880167224,6.0,7.0,1161.7100170771755,302.37444173450706,,0.8380481752435783,0.0,205.0,4.209604087712879,9.681062588135736,Male,South,Single,Engineer,Bachelor,Checking,Retail,True,True,True,False,False,False,0
55.0,1.0,11.0,2.0,5630.6399050696,9.0,6.0,2271.6237321060325,59.705146579093054,249.21693576375586,0.9398155913184425,3.0,263.0,2.8505538654518525,14.98721627482431,Female,East,Divorced,Doctor,,Business,Retail,False,,True,False,False,False,0
37.0,2.0,31.0,2.0,33319.740556027675,4.0,2.0,1461.2523118192137,867.9107431488396,130.05475193991379,0.6881948085848109,1.0,141.0,3.502420402305442,21.038958149937454,Male,East,Divorced,Teacher,Bachelor,Checking,Other,False,True,True,False,False,False,0
37.0,2.0,54.0,3.0,1923.8779063388115,9.0,4.0,928.4307667841616,621.5892462922974,120.837050428283,0.6355847399762818,0.0,365.0,2.216526895015237,7.056190248783932,Female,West,Married,Teacher,High School,Savings,Healthcare,False,False,,False,False,False,0
55.0,2.0,24.0,5.0,,14.0,10.0,919.7082343028394,11.017840948301524,945.0551682158139,0.789679768428336,2.0,316.0,3.2872366018014216,2.2534737630599144,Female,South,Married,Doctor,Bachelor,Business,Healthcare,False,True,False,False,True,False,0
47.0,0.0,63.0,2.0,879.3137544683226,,2.0,5145.612223467584,1106.6757239590409,408.53188624702943,,1.0,183.0,4.330345209047211,100.0,Male,Central,Single,Student,Bachelor,Checking,Technology,True,True,True,False,False,False,0
35.0,3.0,5.0,2.0,1661.5359105421455,11.0,0.0,7786.029696246563,184.08799305771646,537.4153278000944,0.6411714164827764,1.0,45.0,2.387027586381089,11.33603821030091,Female,South,Married,Student,Bachelor,Business,Healthcare,False,True,False,True,False,False,0
45.0,2.0,47.0,1.0,4034.293318344393,11.0,,,740.9665352066146,,,2.0,365.0,3.174460569170764,10.599890096633272,Male,Central,Married,Retired,Bachelor,Checking,Technology,False,True,False,True,False,False,0
