age,gender,region,marital_status,occupation,education,dependents,account_type,account_age_months,num_products,avg_balance,is_dormant,mobile_banking_active,monthly_mobile_logins,ussd_usage,internet_banking_active,atm_txns_per_month,account_linkage_active,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,has_rel_manager,sector,monthly_fees,churned
32,Female,Rural,Single,Artist,Postgraduate,1,Basic,110,2,5156.648384054372,False,True,40,True,True,0,True,1108.6654320711193,1109.1172030765947,186.9261790014465,73.51983013797222,0,136,7.218522486911604,False,Finance,28.57906652953413,False
58,Male,Suburban,Married,Artist,Undergraduate,1,Business,172,1,5753.40690930051,False,True,13,False,True,17,False,924.4183294100297,1069.025930818448,246.65017422123128,86.1039146923044,2,10,8.251901761747137,False,Technology,45.406903147799795,False
69,Female,Urban,Divorced,Doctor,Undergraduate,0,Premium,182,4,5765.774510738177,False,True,3,True,True,7,True,1284.3769330837272,686.8370253632487,9.310659072499902,120.67712127630132,2,94,6.814510872446369,False,Healthcare,54.96551690590447,True
52,Male,Urban,Married,Teacher,Undergraduate,3,Business,124,1,4744.0236468206695,True,True,30,True,False,5,True,824.0333282920338,623.3430772031959,2.975936898415455,68.96094064666187,1,180,7.5661733010472805,False,Healthcare,34.65018841847949,True
50,Female,Suburban,Single,Doctor,Postgraduate,0,Business,127,1,5866.652708433322,False,False,12,True,True,16,True,1465.0717630965453,776.7988846242565,155.11248709594958,89.90573798017986,1,22,5.791589849669423,True,Technology,76.84694987632273,False
57,Male,Rural,Single,Engineer,Postgraduate,1,Premium,82,1,3840.031096141148,True,True,16,False,True,18,True,431.0216583460199,737.2014077930834,341.08133967311903,75.61000433921366,1,212,4.646056729008136,False,Technology,42.71114091155927,True
58,Female,Urban,Single,Doctor,Postgraduate,0,Basic,181,2,3133.576301061916,False,True,3,False,True,15,True,723.2508929227183,311.20139649898545,339.34524608758863,110.98893867399852,2,10,5.0130485713825115,True,Healthcare,21.361027981672216,False
21,Female,Rural,Divorced,Other,Postgraduate,0,Premium,144,3,11478.981447280654,False,False,8,False,True,7,True,1002.691009237377,1349.851681507154,114.39102923591956,84.5031280676068,2,223,9.217092671746487,True,Technology,43.04127276449908,False
50,Female,Suburban,Married,Artist,High School,2,Premium,101,2,5283.841595229894,False,True,43,True,False,8,True,806.3742864517424,1238.6954239922634,-38.49459557269543,100.06141234977976,0,204,7.3816300409046764,True,Retail,52.170210833277004,False
31,Male,Rural,Single,Teacher,Undergraduate,1,Premium,160,4,10222.936647480248,False,True,12,False,True,18,True,924.8144779065885,1443.1358668228352,401.7332509259903,51.80745848391658,0,77,6.967409366139988,False,Retail,43.65504980021816,False
