age,gender,region,marital_status,occupation,education,dependents,account_type,account_age_months,num_products,avg_balance,is_dormant,mobile_banking_active,monthly_mobile_logins,ussd_usage,internet_banking_active,atm_txns_per_month,account_linkage_active,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,has_rel_manager,sector,monthly_fees
41,Female,West,Single,Teacher,Masters,2,Savings,38,2,28338.730744351953,False,True,43,True,True,18,False,39110.34526912127,2111.16200366944,5052.158983009914,99.73987468364305,0,252,4.3686810002688885,False,Healthcare,15.867273792432663
51,Female,East,Single,Doctor,Bachelors,2,Savings,96,4,38784.69138686428,False,True,23,True,True,5,True,4247.724783763107,7011.110707056145,5219.670124770752,90.86483549750614,0,263,4.100332313892388,True,Services,95.31258830115361
54,Female,South,Married,Temporary Worker,High School,6,Savings,19,1,984.9369534745537,True,True,7,False,False,1,False,456.01242018501296,882.3435324804454,98.33622631294581,13.171768327476357,10,41,0.28768797741980623,True,Unknown,429.39596412950084
31,Male,South,Single,Entrepreneur,High School,2,Current,45,5,42259.230111337165,False,True,44,True,True,12,False,35768.2017496417,2753.7830256441366,7172.557645256756,91.69221761448154,1,211,4.7362716820826805,True,Healthcare,21.42223129100167
44,Female,East,Married,Entrepreneur,Masters,3,Current,50,2,45872.77367073673,False,True,30,True,True,14,False,38099.282681631215,1327.275112193317,5841.112126086948,97.62304249483086,1,63,4.803423835145968,True,Agriculture,37.03383409102336
51,Female,West,Married,Technician,None,2,Savings,21,2,845.5799154799693,True,True,3,False,False,0,False,57.30332487616058,717.1047267011702,488.45758186881284,48.403481685810455,7,40,0.5697454743607502,False,Retail,363.28364117986905
36,Female,South,Married,Engineer,Masters,1,Current,72,1,26568.41401994446,False,True,45,True,True,20,False,21589.33556958615,7115.699491944045,8653.443841289814,87.51011023517975,0,223,4.035749855151828,False,Manufacturing,56.2982620252602
22,Female,South,Married,Technician,Masters,3,Current,85,3,36111.76641449297,False,True,23,True,True,8,False,4638.839219148921,7820.782935404021,5612.678037796882,95.75846068491005,1,346,4.067454628913326,False,Agriculture,15.867031988089014
41,Female,South,Married,Teacher,Masters,2,Current,98,5,27062.083726674595,False,True,31,True,True,19,False,36228.13316757043,8239.015012309352,1129.264074474883,99.47269187248989,1,343,4.021077533987528,False,Agriculture,69.41775472401423
38,Male,West,Married,Teacher,Masters,0,Savings,32,5,48600.10814912153,False,True,23,True,True,7,False,27011.62437794738,8676.720917609511,6672.15245497533,84.2463929593721,0,192,4.013217493520868,True,Services,46.49085692734613
55,Female,South,Single,Entrepreneur,PhD,1,Current,97,4,15279.7758550244,False,True,25,True,True,13,True,7677.380441671327,6005.167567501382,4887.665093515723,91.61975367987387,1,246,4.0836727994963145,True,Agriculture,44.71494276031004
39,Male,West,Single,Temporary Worker,None,5,Current,22,2,35.266663365062236,True,True,1,True,False,1,True,131.991556671735,390.69810810982653,527.0572874826768,18.424188241187785,3,8,1.5253110086087365,False,Unemployed,152.12280612429777
