age,gender,region,marital_status,occupation,education,dependents,account_type,account_age_months,num_products,avg_balance,is_dormant,mobile_banking_active,monthly_mobile_logins,ussd_usage,internet_banking_active,atm_txns_per_month,account_linkage_active,monthly_deposits,monthly_withdrawals,monthly_transfers,loan_repayment_history,complaints_count,days_since_last_complaint,satisfaction_rating,has_rel_manager,sector,monthly_fees,churned
29,Female,East,Married,Technician,PhD,2,Savings,113,5,1157.5077075885342,False,True,45,True,False,9,True,44035.57632381909,8047.95433542234,6195.543488833871,80.83617387519168,1,210,4.690912532077961,True,Healthcare,28.08887495178142,False
47,Male,East,Married,Unemployed,High School,0,Current,0,1,518.2520150742413,True,False,0,False,False,4,False,46.94900583910599,580.8626751579981,804.4238472660243,50.81937531266728,4,36,0.7398396062869845,False,Unknown,484.59217434915575,True
28,Female,West,Married,Technician,High School,4,Savings,93,2,23086.686077020535,False,True,25,True,False,13,True,5042.502823566281,6928.230792615102,6746.692299221727,95.05280971150307,1,239,4.359162968906924,True,Healthcare,47.02453666332009,True
62,Female,West,Single,Unemployed,High School,5,Current,10,1,169.43096747526297,True,False,8,False,False,4,True,306.27681627277394,665.3693849526868,57.798565218524224,31.289135752284945,4,15,2.109499103319059,False,Retail,353.5601669519102,False
56,Male,North,Married,Temporary Worker,None,5,Savings,14,2,251.64085736737042,True,False,4,False,False,2,True,479.7552381984988,281.77745445207245,430.42106507561726,16.746534958154257,3,18,2.8032297336634393,False,Unknown,355.34789333391313,True
48,Male,West,Married,Technician,Masters,4,Current,81,3,32754.401879153847,False,True,23,True,True,10,False,40356.692024501506,1034.1187726905432,1562.2078493117772,97.41672273426423,0,127,4.681618480700326,True,Services,57.64936646534225,False
29,Male,East,Married,Engineer,Bachelors,1,Current,108,2,42355.96569644424,False,True,22,True,True,12,False,46423.911005232345,4646.751069387842,6758.682598563539,90.38578612987673,0,43,4.910926755129504,False,Manufacturing,41.33681873631181,True
42,Female,North,Single,Teacher,Masters,3,Savings,84,4,14908.399651537493,False,False,28,True,True,6,True,10430.59550155797,4473.365496959523,9747.068391582825,90.62649809302653,0,325,4.833761015544813,True,Healthcare,84.82294164119496,False
65,Male,South,Married,Teacher,Bachelors,3,Current,99,5,15081.762923012657,False,True,40,False,True,9,False,17629.033314709046,8173.616054306585,9356.952728437784,96.32012148566139,1,108,4.712790236593714,False,Services,28.438276837658606,False
61,Male,West,Single,Doctor,High School,4,Savings,70,4,17069.94928754722,False,True,43,True,True,10,True,40650.13367822535,4124.369629725831,6144.276140617575,99.05575951417411,1,157,4.236227050359236,True,Services,25.5511950735044,False
32,Male,North,Married,Unemployed,None,1,Current,16,0,603.4864451482168,True,False,4,False,True,1,False,304.7954125692898,241.81209602119603,313.7855080243372,41.4631337307978,3,13,2.6772131789084765,True,Unemployed,430.6709214333013,True
28,Female,West,Married,Technician,High School,2,Savings,10,1,730.9176081648997,True,True,3,False,True,0,True,42.30706266519119,916.9210833786155,507.951641813429,38.78957077704249,10,9,1.667240579920943,False,Unemployed,124.86110141976856,False
26,Male,North,Single,Technician,None,4,Current,16,2,197.06146117238234,True,True,6,True,False,5,False,150.77963120968462,140.40114667926719,136.08788533084558,48.56404963163707,9,48,1.9536947107219511,False,Unknown,242.26313632262622,True
63,Male,South,Single,Teacher,High School,3,Savings,106,2,7707.272500594437,False,True,29,True,True,12,False,41526.765314617325,4172.342703243079,2340.9164668806698,95.8934668076841,1,274,4.83851141341333,False,Manufacturing,66.2536749242274,False
62,Female,West,Single,Temporary Worker,None,5,Savings,8,2,922.147289587564,True,True,0,True,False,2,False,473.14173157228964,711.1877731160145,344.53303081681406,49.79025543924463,9,1,2.2076828175281666,False,Unemployed,470.3008420150922,False
47,Female,East,Married,Technician,Bachelors,3,Savings,35,2,44738.67580741885,False,True,34,True,True,14,True,6662.365188185495,6013.441337422942,1739.2913172612164,85.05380547277188,0,275,4.720576026940394,False,Agriculture,33.361672702045695,True
65,Male,South,Single,Doctor,PhD,4,Current,52,4,47074.90552780694,False,True,21,False,True,6,False,37430.84882116286,1759.4501983533237,7034.3617487530955,83.96696274011846,0,226,4.001745349204406,True,Agriculture,68.04034173353818,False
33,Female,West,Married,Teacher,High School,4,Savings,84,2,35558.8819576052,False,True,35,True,True,14,True,29858.149152293838,2868.611069326318,6328.957996561225,96.08554213678352,1,352,4.71937823274073,True,Agriculture,62.50168482085806,True
58,Female,North,Married,Technician,None,1,Current,12,1,805.6526598379431,True,False,9,True,False,1,False,485.83072426581884,324.5001300852294,576.2963468990916,34.778275998870406,2,15,2.1089329939738755,False,Unemployed,307.8402153390129,True
24,Female,East,Single,Unemployed,None,6,Current,0,0,800.3059728319943,True,True,4,False,True,0,False,88.20425146412414,473.56981978046673,796.2428285189671,42.84843009482109,8,32,2.0526912246652196,False,Unknown,317.56252905181236,True
53,Female,North,Single,Technician,High School,3,Current,22,0,721.5251538708409,True,False,3,False,False,5,False,111.92170324617656,200.35007344504942,432.31298689690476,31.663719600785722,2,33,0.7541902914458802,False,Unknown,247.02598127129312,False
